investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
Accident,FTW82DA311,1982-07-26,"EAGLE PASS, TX",United States,,,,GIEBEL RANCH,Non-Fatal,Substantial,Airplane,N304CW,Piper,PA-34-200T,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,26-07-1983
Accident,FTW82DA296,1982-07-26,"SPRINGDALE, AR",United States,,,H37,SPRINGDALE,Non-Fatal,Substantial,Airplane,N7635L,Lake,LA-4,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,26-07-1983
Accident,FTW82DA295,1982-07-26,"FRANKLINTON, LA",United States,,,2R7,FRANKLINTON,Non-Fatal,Substantial,Airplane,N5482Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,26-07-1983
Accident,FTW82DA294,1982-07-26,"OKLAHOMA CITY, OK",United States,,,,,Non-Fatal,Substantial,Airplane,N8265J,Varga,2150A,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,26-07-1983
Accident,DEN82DA145,1982-07-26,"WOODS CROSS, UT",United States,,,BTF,BOUNTIFUL-SALT LAKE,Non-Fatal,Substantial,Airplane,N758YP,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,26-07-1983
Accident,DEN82DA144,1982-07-26,"LEONARD, ND",United States,,,90Y,LEONARD MUNICIPAL,Non-Fatal,Substantial,Airplane,N4461Y,Piper,PA-25-235,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,26-07-1983
Accident,CHI82DA276,1982-07-26,"ADA, MN",United States,,,,,Non-Fatal,Substantial,Airplane,N7208Z,Piper,PA25-235C,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,26-07-1983
Accident,LAX82FA279B,1982-07-27,"MORGAN HILL, CA",United States,,,,,Fatal(2),Destroyed,Airplane,N20100,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,2.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,27-07-1983
Accident,MIA82DA160,1982-07-27,"TAMPA, FL",United States,,,X16,VANDENBERG,Non-Fatal,Substantial,Airplane,N553PA,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,1.0,2.0,VMC,Landing,Probable Cause,27-07-1983
Accident,LAX82FA279A,1982-07-27,"MORGAN HILL, CA",United States,,,,,Fatal(2),Substantial,Airplane,N5090Q,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,2.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,27-07-1983
Accident,LAX82DA280,1982-07-27,"RAMONA, CA",United States,,,,REMOTE STRIP,Non-Fatal,Substantial,Airplane,N42916,Cessna,180J,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,27-07-1983
Accident,FTW82DA298,1982-07-27,"ALBUQUERQUE, NM",United States,,,4AC,CORONADO,Non-Fatal,Substantial,Airplane,N3013Y,Cessna,182E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-07-1983
Accident,ATL82DA216,1982-07-27,"HUNTSVILLE, AL",United States,,,3M6,SOUTH HUNTSVILLE,Non-Fatal,Substantial,Airplane,N3124J,Cessna,150G,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,27-07-1983
Accident,CHI82DA283,1982-07-27,"NOBLE, IL",United States,,,OLY,OLNEY-NOBLE,Non-Fatal,Substantial,Airplane,N72HQ,Q-berry,HAWK,Yes,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,27-07-1983
Incident,NYC82IA170,1982-07-28,"FLUSHING, NY",United States,,,LGA,LAGUARDIA,Incident,Minor,Airplane,N64323,Boeing,727-231,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,129.0,IMC,Approach,Probable Cause,28-07-1983
Accident,FTW82AA299,1982-07-28,"LINDALE, TX",United States,,,,GARDEN VALLEY (PVT),Fatal(12),Destroyed,Airplane,N110VM,Robertson,C-414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,12.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-07-1983
Accident,ANC82DA062,1982-07-28,"NEAR BORNITE, AK",United States,,,,(REMOTE FIELD SITE),Fatal(1),Destroyed,Helicopter,N820Y,Hughes,369D,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,1.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-07-1983
Accident,MIA82DA161,1982-07-28,"PLYMOUTH, FL",United States,,,,,Non-Fatal,Substantial,Airplane,N2334C,Cessna,R182,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,28-07-1983
Accident,LAX82DA281,1982-07-28,"HENDERSON, NV",United States,,,L15,SKY HARBOR,Non-Fatal,Substantial,Airplane,N455HC,Beech,95-B55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,28-07-1983
Accident,FTW82DA301,1982-07-28,"ABILENE, TX",United States,,,ABI,ABILENE MUNICIPAL,Non-Fatal,Substantial,Airplane,N326CA,Beech,B99A,No,2.0,Turbo Prop,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-07-1983
Accident,DEN82FTM15,1982-07-28,"WOODS CROSS, UT",United States,,,,SKYPARK S.L.,Non-Fatal,Substantial,Airplane,N360CB,Oar,ACAPELLA,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-07-1983
Accident,CHI82DA344,1982-07-28,"DEKALB, IL",United States,,,3DM,DEKALB,Non-Fatal,Substantial,Airplane,N60028,Cessna,150J,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-07-1983
Accident,CHI82DA280,1982-07-28,"CARROLLTON, IL",United States,,,,,Non-Fatal,Substantial,Airplane,N956W,Siai Marchetti,S.205-22/R,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,28-07-1983
Accident,CHI82DA279,1982-07-28,"PLAINVIEW, MN",United States,,,,,Non-Fatal,Substantial,Helicopter,N19JM,Bell,47G-2,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,28-07-1983
Accident,CHI82DA278,1982-07-28,"LADYSMITH, WI",United States,,,D28,RUSK CO. AIRPORT,Non-Fatal,Substantial,Airplane,N3092P,Piper,PA-23,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,28-07-1983
Accident,CHI82DA277,1982-07-28,"BRUCE, WI",United States,,,,,Non-Fatal,Substantial,Airplane,N53056,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,1.0,VMC,Takeoff,Probable Cause,28-07-1983
Accident,ATL82DA217,1982-07-28,"LAURINBURG, NC",United States,,,,,Non-Fatal,Substantial,Airplane,N733JU,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,28-07-1983
Accident,DEN82DA147,1982-07-28,"BRYCE CANYON, UT",United States,,,,,Non-Fatal,Substantial,Helicopter,N88389,Bell,UH1B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Beartooth,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,28-07-1983
Accident,ANC82DA063,1982-07-28,"MCKINLEY NAT'L., AK",United States,,,,,Non-Fatal,Substantial,Airplane,N3093T,Piper,PA-32-300,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Denali Flying Service,0.0,0.0,4.0,1.0,VMC,Maneuvering,Probable Cause,28-07-1983
Accident,SEA82FYK11,1982-07-29,"COTTAGE GROVE, OR",United States,,,,,Fatal(2),Destroyed,Airplane,N761ZY,Cessna,T210M,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,29-07-1983
Accident,SEA82FAD01,1982-07-29,"KETCHIKAN INTL., AK",United States,,,,,Fatal(1),Destroyed,Airplane,N2708P,Lake,LA-4-200,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,3.0,1.0,0.0,IMC,Takeoff,Probable Cause,29-07-1983
Accident,LAX82FA282,1982-07-29,"11MI.SW OF SILV, NV",United States,,,,,Fatal(1),Destroyed,Airplane,N13310,Cessna,177,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,29-07-1983
Incident,CHI82IA282,1982-07-29,"COLUMBUS, OH",United States,,,OSU,OHIO STATE UNIVERSITY,Incident,Minor,Airplane,N6292D,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-07-1983
Incident,ATL82IA218,1982-07-29,"HAMPTON, GA",United States,,,4A7,BEAR CREEK,Incident,Minor,Airplane,N714TA,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,29-07-1983
Accident,SEA82DA131,1982-07-29,"ROCHE HARBOR, WA",United States,,,12,JOHN'S ISLAND,Non-Fatal,Substantial,Airplane,N9528G,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,29-07-1983
Accident,NYC82DA174,1982-07-29,"WATERTOWN, NY",United States,,,,WATERTOWN INTERNATIONAL,Non-Fatal,Substantial,Airplane,N9169U,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,29-07-1983
Accident,NYC82DA172,1982-07-29,"WESTFIELD, MA",United States,,,BAF,BARNES,Non-Fatal,Substantial,Helicopter,N8782F,Hughes,269A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-07-1983
Accident,NYC82DA171,1982-07-29,"MADISON, CT",United States,,,N04,GRISWOLD,Non-Fatal,Substantial,Airplane,N4547K,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,29-07-1983
Accident,MKC82DA133,1982-07-29,"CALAMUS, IA",United States,,,5C3,EASTVOLD,Non-Fatal,Substantial,Airplane,N3476B,Beech,E-35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,29-07-1983
Accident,FTW82DA303,1982-07-29,"LOS LUNAS, NM",United States,,,E98,MID-VALLEY,Non-Fatal,Substantial,Airplane,N761JP,Cessna,T21OM,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-07-1983
Accident,DEN82DA149,1982-07-29,"MARION, MT",United States,,,,LOST PRAIRIE-CARSON FIELD,Non-Fatal,Substantial,Airplane,N8997E,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,29-07-1983
Accident,CHI82DA313,1982-07-29,"CHATFIELD, MN",United States,,,,MEADOWBROOK,Non-Fatal,Substantial,Airplane,N6489B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-07-1983
Accident,ANC82DAG54,1982-07-29,"MCGRATH, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N1453Q,Cessna,185F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,29-07-1983
Accident,MKC82FCD09,1982-07-29,"TIPTON, IA",United States,,,,TIPTON,Non-Fatal,Substantial,Helicopter,N9357F,Hughes,269B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,29-07-1983
Accident,DEN82FA148,1982-07-29,"MEDORA, ND",United States,,,,PRIVATE HELIPAD,Fatal(1),Substantial,Helicopter,N4202S,Enstrom,F-280,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,3.0,1.0,0.0,VMC,Cruise,Probable Cause,29-07-1983
Accident,CHI82DA281,1982-07-29,"SPRING GREEN, WI",United States,,,,,Non-Fatal,Substantial,Helicopter,N5698M,Enstrom,280C,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-07-1983
Accident,ATL82DA221,1982-07-29,"DONALSONVILLE, GA",United States,,,17J,DONALSONVILLE MUNICIPAL,Non-Fatal,Substantial,Airplane,N10286,Grumman,G-164,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,29-07-1983
Accident,NYC82FA175,1982-07-30,"SOUTH YARMOUTH, MA",United States,,,,,Fatal(1),Destroyed,Airplane,N783Y,Beech,B19,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-07-1983
Accident,FTW82FPD17,1982-07-30,"ABILENE, TX",United States,,,,ELMDALE,Non-Fatal,Destroyed,Airplane,N8393E,Mooney,M20,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,30-07-1983
Incident,DEN82IA150,1982-07-30,"NEAR WINTER PAR, CO",United States,,,,,Incident,Minor,Helicopter,N49556,Aerospatiale,350D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Jerry Lynn Noland,0.0,0.0,0.0,4.0,VMC,Maneuvering,Probable Cause,30-07-1983
Accident,ATL82DA255,1982-07-30,"ASHLAND, KY",United States,,,128,ASHLAND-BOYD COUNTY,Non-Fatal,Destroyed,Gyrocraft,N37630,Benson,B8M,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,30-07-1983
Accident,MKC82FCG18,1982-07-30,"NEOSHO, MO",United States,,,,,Fatal(2),Substantial,Airplane,N75A,Thorp,T-18,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,30-07-1983
Accident,MKC82DA134,1982-07-30,"HANSELL, IA",United States,,,,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N758AG,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,30-07-1983
Accident,CHI82DA315,1982-07-30,"NEW HAVEN, IL",United States,,,,,Non-Fatal,Substantial,Airplane,N25814,Piper,PA-38,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,0.0,0.0,0.0,1.0,IMC,Cruise,Probable Cause,30-07-1983
Accident,CHI82DA285,1982-07-30,"MARION, IL",United States,,,MWA,WILLIAMSON COUNTY,Non-Fatal,Substantial,Airplane,N5746M,Cessna,310P,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-07-1983
Accident,ANC82DAA10,1982-07-30,"MANLEY HOT SPRI, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N9749B,Cessna,180A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,UNK,Cruise,Probable Cause,30-07-1983
Accident,FTW82DA302,1982-07-30,"EL PASO, TX",United States,,,,,Non-Fatal,Substantial,Airplane,N102BL,Douglas,DC-3C,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Pronto Aviation Services,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,30-07-1983
Accident,DEN82DA139,1982-07-30,"WAHPETON, ND",United States,,,,,Non-Fatal,Substantial,Helicopter,N6704,Sikorsky,S-55B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,30-07-1983
Accident,NYC82FNE04,1982-07-31,"AGAWAM, MA",United States,,,,BOWLES AIRPORT,Non-Fatal,Destroyed,Airplane,N57507,Bellanca,7KCAB,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,31-07-1983
Accident,NYC82FA176,1982-07-31,"WEST BRATTLEBOR, VT",United States,,,,,Fatal(1),Destroyed,Airplane,N17135,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,UNK,Cruise,Probable Cause,31-07-1983
Accident,LAX82DA284,1982-07-31,"SAN PEDRO, CA",United States,,,,,Non-Fatal,Destroyed,Airplane,N3935T,Piper,PA-28R,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,31-07-1983
Incident,CHI82IA284,1982-07-31,"OSHKOSH, WI",United States,,,OSH,WITTMAN FIELD,Incident,Minor,Airplane,N21254,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,31-07-1983
Accident,SEA82DA134,1982-07-31,"KLAMATH FALLS, OR",United States,,,LMT,KINGSLEY FIELD,Non-Fatal,Substantial,Airplane,N88JS,Maule,M-5-210C,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,SEA82DA132,1982-07-31,"DONNELLY, ID",United States,,,U84,DONNELLY,Non-Fatal,Substantial,Airplane,N13359,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Go-around,Probable Cause,31-07-1983
Accident,NYC82DA183,1982-07-31,"EIGHTY FOUR, PA",United States,,,22D,BANDEL AIRPORT,Non-Fatal,Substantial,Glider,N7774S,Schweizer,SGS-2-33A,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,NYC82DA177,1982-07-31,"WILLIAMSON, NY",United States,,,,,Non-Fatal,Substantial,Airplane,N6924G,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,MKC82DA136,1982-07-31,"NORTH PLATTE, NE",United States,,,LBF,LEE BIRD FIELD,Non-Fatal,Substantial,Airplane,N22447,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,31-07-1983
Accident,MKC82DA135,1982-07-31,"CHESTERFIELD, MO",United States,,,SUS,SPIRIT OF ST. LOUIS,Non-Fatal,Substantial,Helicopter,N4070B,Bell,47J-2,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,LAX82FYM18,1982-07-31,"SAN CARLOS, CA",United States,,,,SAN CARLOS,Non-Fatal,Substantial,Airplane,N2090W,Piper,PA-28RT-201,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,LAX82DA283,1982-07-31,"PHOENIX, AZ",United States,,,,,Non-Fatal,Substantial,Helicopter,N5688N,Enstrom,F28C,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,31-07-1983
Accident,FTW82FRG34,1982-07-31,"PORT ARANSAS, TX",United States,,,,MUSTANG BEACH,Fatal(1),Substantial,Airplane,N6631D,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,2.0,0.0,0.0,VMC,Go-around,Probable Cause,31-07-1983
Accident,FTW82DA312,1982-07-31,"SPRINGER, NM",United States,,,,,Non-Fatal,Substantial,Airplane,N30157,Cessna,177,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,FTW82DA308,1982-07-31,"ROARING SPRINGS, TX",United States,,,53F,BUZZ FIELD,Non-Fatal,Substantial,Airplane,N60003,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,31-07-1983
Accident,CHI82DA287,1982-07-31,"GRANTSBURG, WI",United States,,,GTG,GRANTSBURG MUNICIPAL,Non-Fatal,Substantial,Airplane,N3683Q,Beech,A23A,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,CHI82DA286,1982-07-31,"BROOKLYN PARK, MN",United States,,,,,Non-Fatal,Substantial,Airplane,N96055,Taylorcraft,BC12-D,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,31-07-1983
Accident,ATL82FLT05,1982-07-31,"ARLINGTON, TN",United States,,,,WILDER'S STRIP,Non-Fatal,Substantial,Airplane,N5600M,Varga,2180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,VMC,Takeoff,Probable Cause,31-07-1983
Accident,SEA82DA135,1982-07-31,"SANDY, OR",United States,,,S48,COUTRY SQUIRE AIRPARK,Non-Fatal,Substantial,Airplane,N9707M,Mooney,M20F,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,31-07-1983
Accident,NYC82DNC12,1982-07-31,"HAMLIN, ME",United States,,,,,Non-Fatal,Substantial,Airplane,N1344M,Boeing,PT-17,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,31-07-1983
Accident,LAX82FVM17,1982-08-01,"SCOTTS VALLEY, CA",United States,,,,,Fatal(1),Destroyed,Airplane,N61861,Great Lakes,2T-1A-2,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,01-08-1983
Accident,ATL82DA225,1982-08-01,"KEYSER, WV",United States,,,PVT,MILLER FIELD,Non-Fatal,Destroyed,Airplane,N2386K,Piper,PA-38-112,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,01-08-1983
Accident,ATL82DA223,1982-08-01,"ALABASTER, AL",United States,,,21A,SHELBY COUNTY,Non-Fatal,Destroyed,Airplane,N11GT,Aero Commander,680FL,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,01-08-1983
Accident,SEA82DA133,1982-08-01,"FRIDAY HARBOR, WA",United States,,,WA24,FRIDAY HARBOR/SEAPLANE B.,Non-Fatal,Substantial,Airplane,CGZDT,Cessna,A185F,No,1.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-08-1983
Accident,NYC82DA179,1982-08-01,"ERWINNA, PA",United States,,,N1,VAN SANT AIRPORT,Non-Fatal,Substantial,Airplane,N3988V,Cessna,170,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,01-08-1983
Accident,NYC82DA178,1982-08-01,"DUBOIS, PA",United States,,,DUJ,DUBOIS,Non-Fatal,Substantial,Airplane,N2852E,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,01-08-1983
Accident,MIA82DA162,1982-08-01,"ORLANDO, FL",United States,,,X30,MAGUIRE,Non-Fatal,Substantial,Airplane,N9109V,Mooney,M20F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,01-08-1983
Accident,LAX82DA286,1982-08-01,"NOVATO, CA",United States,,,056,GNOSS FIELD,Non-Fatal,Substantial,Airplane,N5440J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,01-08-1983
Accident,FTW82DA309,1982-08-01,"LOS LUMAS, NM",United States,,,E98,MID VALLEY,Non-Fatal,Substantial,Airplane,N36709,Stinson,10A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-08-1983
Accident,FTW82DA304,1982-08-01,"COTULLA, TX",United States,,,COT,COTULLA MUNICIPAL,Non-Fatal,Substantial,Airplane,N832BW,Cessna,421B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,01-08-1983
Accident,CHI82DA288,1982-08-01,"ROCKFORD, IL",United States,,,1C8,COTTONWOOD,Non-Fatal,Substantial,Airplane,N5286L,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,01-08-1983
Accident,ATL82FA224,1982-08-01,"MT AIRY, NC",United States,,,MWK,MT. AIRY-SURRY CTY,Non-Fatal,Substantial,Airplane,N61856,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-08-1983
Accident,ATL82DA222,1982-08-01,"GREER, SC",United States,,,GSP,GREENVILLE-SPARTANBURG,Non-Fatal,Substantial,Airplane,N1831F,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,01-08-1983
Accident,NYC82FNC13,1982-08-02,"BEANS PURCHASE, NH",United States,,,,,Fatal(1),Destroyed,Airplane,N5566F,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause,02-08-1983
